state,enrolment_load,demographic_update_load,biometric_update_load,volatility,ASPI
West Bengal,0.36843283318345854,0.995787390625172,0.8232606628553281,0.9615164176515013,0.7296545162807442
Tamil Nadu,0.21675037403252218,1.0,1.0,1.0,0.7258626309113827
Bihar,0.5984363280805162,0.6629575092341983,0.6039717565544556,0.8597892609957132,0.6453118328366254
Uttar Pradesh,1.0,0.32539345765131195,0.32157989993755776,0.4579548912400355,0.5738085014037866
Andhra Pradesh,0.12534507199880623,0.8818854869472202,0.7780049715296188,0.5954976078004963,0.5624874249462025
Karnataka,0.21915164319064467,0.7248021412216179,0.7089515749833122,0.6854704754626546,0.5399286587753045
Maharashtra,0.3623874466439171,0.5561958508063471,0.5525682917723361,0.5539084408311675,0.4872272785934759
Odisha,0.11666280526355058,0.5712198692045812,0.5714920558026126,0.5905100287701166,0.4141219594312819
Kerala,0.07362943096007571,0.5882723672583694,0.5855265507236042,0.4535945208730663,0.393993100781745
Madhya Pradesh,0.48493561928397805,0.2932764179256109,0.28676313916370466,0.40275870954874066,0.3696770478728758
Assam,0.22598632670611843,0.40237996220721833,0.32524948632767614,0.4138292375355736,0.32250449834478334
Gujarat,0.2754175223928657,0.299564111132922,0.29663106474212214,0.304834657610653,0.29090659812397546
Telangana,0.1291668793710756,0.36726284460569003,0.3629308971348761,0.38232872221869757,0.2843528576671723
Rajasthan,0.34208464719210546,0.23488848166471712,0.2229883586809031,0.3162020075570169,0.27756346144257954
Jharkhand,0.15465704850053208,0.2675847863828073,0.26354454205283273,0.3372304597008223,0.23401458437331885
Chhattisgarh,0.10133041699226802,0.1441914855591315,0.13765758071253548,0.15679362604653735,0.12881684939782084
Punjab,0.07534153783324236,0.05882519085021895,0.06080867984153766,0.052216174628223005,0.06444088291990722
Meghalaya,0.10776259831852256,0.034721110557702065,0.02884551178588858,0.04979565207343767,0.06032418573260941
Haryana,0.09645425022677562,0.029776237438432697,0.02939745838353694,0.034677909099157786,0.05350901431670129
Orissa,0.004072144099710591,0.08506282623692384,0.08677289936530151,0.029841042370839555,0.051621427384385195
Uttarakhand,0.037007622017066095,0.04769116218238176,0.04980393112008656,0.04316917334990121,0.044027916475699425
Tripura,0.011077645617438358,0.05771289757504833,0.05908173854683411,0.05087180108262331,0.04104865998358878
Delhi,0.09279933400613374,0.009454859718428422,0.008880535548625857,0.012795125827059434,0.038815871287537745
Jammu and Kashmir,0.04711239039178189,0.030913522834963885,0.03189744854355671,0.03575506603129396,0.037313262226631394
Manipur,0.013208943794986983,0.0473198529055938,0.04536854705625635,0.04420964700846868,0.034582187664834535
Himachal Pradesh,0.01716524580121497,0.040001416858238034,0.046220448469601924,0.027393437142394107,0.03230271691953654
Nagaland,0.015300973466270316,0.026280998269661415,0.026568363157285585,0.029723226125959866,0.022854053596010417
Arunachal Pradesh,0.004263578067753881,0.030523079457679982,0.029221560165286067,0.021636831491327158,0.020118249351472085
Mizoram,0.0058166474905461075,0.024966915386747047,0.023215130569231978,0.020874503250326415,0.017417134205055886
Goa,0.0022893539152664174,0.019506004261832386,0.019064468575243385,0.010445124276953611,0.012463704720399168
Sikkim,0.0021656581205307533,0.019372798990737534,0.015398922829338434,0.01529114145791005,0.011948664892532636
Puducherry,0.0017121068731666515,0.013436688977113795,0.013818159281907615,0.006329449867172734,0.008717728905936643
Pondicherry,0.0012477567865795953,0.010766381752213401,0.01219555995485103,0.006420510612376344,0.00735757045091727
Andaman and Nicobar Islands,0.0003887582120263727,0.007357809597692256,0.008408072275451657,0.002002219555677895,0.004645648277947611
Chandigarh,0.0026722218513529966,0.002668998857372064,0.002304074845320144,0.0022339769112082472,0.0025353937076360287
Andaman & Nicobar Islands,0.00011093353019944475,0.0031166775723435363,0.003555931019187955,0.0008217112181743227,0.0019449838838872875
Lakshadweep,0.00019830595663971538,0.0028978197247580316,0.003267691365534483,0.0012145761328522134,0.001877133456920152
Ladakh,0.0006047349964854687,0.0013714340665365,0.0012389970282755541,0.00032586628506634386,0.0009654233543063869
Dadra and Nagar Haveli,0.000729412503877765,0.0010514180858150854,0.001121121390645414,0.0009523571822033059,0.0009462358679834275
Dadra and Nagar Haveli and Daman and Diu,0.00016885457694074775,0.001664897659389592,0.0007643593533551178,0.000867579979824876,0.0008364162360674064
Daman and Diu,0.00011682380613923827,0.0012751200308685397,0.0013652730201329777,0.00019625407298593168,0.000784368003741133
Daman & Diu,1.9634253132645086e-05,0.0008230359617395333,0.0008709357390810939,0.00011149520337755305,0.00048266623222631454
Jammu & Kashmir,0.00015118374912136717,0.0005528788090235736,0.0005945014242962415,9.723859665907566e-05,0.00037712717063951857
Jammu And Kashmir,0.0009316453111440094,0.0,0.0,0.0,0.00032607585890040327
West Bangal,8.83541390969029e-06,0.0007406711351638011,0.00031626017832650884,8.293938220305967e-05,0.0003126527182194651
The Dadra And Nagar Haveli And Daman And Diu,0.0007019245494920619,0.0,0.0,1.8769130838625933e-08,0.00024567546923530555
West  Bengal,1.3743977192851561e-05,0.0004709782234574352,0.00016737170351203637,0.000527463569000822,0.0002406931418328199
Dadra & Nagar Haveli,2.3561103759174104e-05,0.00032349531037095336,0.0003448900842092488,0.00018891629897996513,0.00021040913037730566
Westbengal,4.9085632831612715e-06,0.0004826034352464529,0.00011156937032640072,5.006999468846872e-05,0.00017939836977348933
WEST BENGAL,2.945137969896763e-06,0.00031392316548184033,0.00021066066178024618,0.0001226484352097493,0.00016013775690005246
ODISHA,0.0,0.00023768608999415585,0.00019338627256962186,0.0,0.00011965239514065221
andhra pradesh,3.926850626529018e-06,0.00022181124534649026,0.00013850973157447636,3.5821366648157346e-05,0.00010612734088166706
West bengal,5.890275939793526e-06,0.00022911069858133143,0.0001118846932663471,5.007983638979338e-05,0.00010377396310889327
WESTBENGAL,0.0,0.0002849432382606837,6.819588434136268e-05,0.0,0.00010253194256354578
100000,0.0002130316464891992,1.6329141309645275e-06,0.0,4.502014042266646e-05,7.955296455277573e-05
